TimeStamp,SubTest,Step,Target.X,Target.Y,LeftPupil.X,LeftPupil.Y,RightPupil.X,RightPupil.Y,slno,TimeMillis,velocity_left,velocity_right,distance_left,distance_right,net_distance_left,net_distance_right,fixation_left,fixation_right
13080,0,-1,0,5e-324,-24.7618198394775,76.7008819580078,-21.790834426879893,49.7822418212891,327,13.08,25.309467315674485,23.095798492429775,1.0123786926270029,0.9238319396972123,1.0123786926270029,0.9238319396972123,0,0
13120,0,-1,0,5e-324,-24.3029098510742,78.4431533813477,-21.118442535400398,50.56103134155271,328,13.12,11.47274971008272,16.809797286987752,0.458909988403299,0.6723918914794957,0.458909988403299,0.6723918914794957,1,1
13160,0,-1,0,5e-324,-23.907896041870107,79.9998550415039,-21.119722366333,49.8852005004883,329,13.16,9.875345230102134,0.03199577331507368,0.39501380920409446,0.0012798309326029766,0.39501380920409446,-0.0012798309326029766,1,1
13200,0,-1,0,5e-324,-24.096008300781303,77.20233154296879,-21.693956375122102,45.4268264770508,330,13.2,4.702806472780019,14.355850219727845,0.18811225891119676,0.5742340087891016,-0.18811225891119676,-0.5742340087891016,1,1
13240,0,-1,0,5e-324,-24.2911262512207,71.9072494506836,-21.7983093261719,39.61233520507809,331,13.24,4.877948760984794,2.608823776244879,0.19511795043939628,0.10435295104979758,-0.19511795043939628,-0.10435295104979758,1,1
13280,0,-1,0,5e-324,-23.7169551849365,67.1492538452148,-20.606060028076197,35.585357666015604,332,13.28,14.35427665710533,29.806232452393214,0.574171066284201,1.1922492980957031,0.574171066284201,1.1922492980957031,1,0
13320,0,-1,0,5e-324,-20.487384796142603,67.5628128051758,-17.6485290527344,36.328071594238295,333,13.32,80.73925971984552,73.93827438354322,3.2295703887938956,2.957530975341797,3.2295703887938956,2.957530975341797,0,0
13360,0,-1,0,5e-324,-20.1754741668701,68.8027420043945,-18.21672058105469,37.2020416259766,334,13.36,7.797765731812755,14.204788208007582,0.31191062927250357,0.5681915283202912,0.31191062927250357,-0.5681915283202912,1,1
13400,0,-1,0,5e-324,-20.709735870361303,68.259147644043,-18.499212265014602,36.2268028259277,335,13.4,13.356542587279787,7.062292098997617,0.5342617034912038,0.2824916839599112,-0.5342617034912038,-0.2824916839599112,1,1
13440,0,-1,0,5e-324,-20.7650585174561,66.7417068481445,-18.4551601409912,35.4116172790527,336,13.44,1.38306617736997,1.1013031005850729,0.05532264709479762,0.04405212402340197,-0.05532264709479762,0.04405212402340197,1,1
13480,0,-1,0,5e-324,-21.15348815917969,65.8937835693359,-19.396774291992198,33.942779541015604,337,13.48,9.71074104308953,23.540353775024403,0.3884296417235902,0.9416141510009979,-0.3884296417235902,-0.9416141510009979,1,0
13520,0,-1,0,5e-324,-21.8138084411621,63.9444694519043,-19.622173309326197,33.3051910400391,338,13.52,16.508007049560543,5.6349754333500846,0.6603202819824077,0.22539901733399859,-0.6603202819824077,-0.22539901733399859,1,1
13560,0,-1,0,5e-324,-21.9875831604004,64.55983734130861,-19.6588439941406,33.606964111328104,339,13.56,4.344367980957464,0.9167671203600635,0.17377471923830257,0.03667068481440339,-0.17377471923830257,-0.03667068481440339,1,1
13600,0,-1,0,5e-324,-22.1406764984131,64.8447113037109,-19.8387012481689,34.8006553649902,340,13.6,3.8273334503175533,4.496431350707571,0.15309333801269887,0.179857254028299,-0.15309333801269887,-0.179857254028299,1,1
13640,0,-1,0,5e-324,-22.309289932251,67.40073394775389,-19.9607982635498,38.23794555664061,341,13.64,4.215335845947434,3.0524253845224796,0.16861343383790128,0.12209701538090201,-0.16861343383790128,-0.12209701538090201,1,1
13680,0,-1,0,5e-324,-22.3096733093262,70.0111846923828,-19.630012512207,41.4724464416504,342,13.68,0.009584426879971835,8.269643783570222,0.0003833770751988652,0.33078575134280186,-0.0003833770751988652,0.33078575134280186,1,1
13720,0,-1,0,5e-324,-22.137210845947298,73.7007827758789,-19.476406097412106,45.9673347473145,343,13.72,4.311561584472468,3.8401603698722475,0.1724624633789027,0.15360641479489345,0.1724624633789027,0.15360641479489345,1,1
13760,0,-1,0,5e-324,-22.4316101074219,77.1640319824219,-20.0743293762207,49.2750587463379,344,13.76,7.359981536865214,14.948081970215162,0.29439926147460227,0.5979232788085938,-0.29439926147460227,-0.5979232788085938,1,1
13800,0,-1,0,5e-324,-23.179519653320302,78.63201904296879,-20.735784530639602,49.8623390197754,345,13.8,18.697738647459616,16.536378860472187,0.747909545898402,0.6614551544189027,-0.747909545898402,-0.6614551544189027,1,1
13840,0,-1,0,5e-324,-23.0254077911377,77.77171325683591,-18.9108715057373,49.47546005249021,346,13.84,3.8527965545651566,45.6228256225585,0.15411186218260298,1.8249130249023011,0.15411186218260298,1.8249130249023011,1,0
13880,0,-1,0,5e-324,-19.7215976715088,78.5059814453125,-16.6681804656982,51.56628036499021,347,13.88,82.59525299072057,56.06727600097624,3.303810119628899,2.2426910400391016,3.303810119628899,2.2426910400391016,0,0
13920,0,-1,0,5e-324,-19.6264743804932,80.68084716796879,-16.9474391937256,54.6953811645508,348,13.92,2.378082275390054,6.981468200685164,0.09512329101560013,0.2792587280274006,0.09512329101560013,-0.2792587280274006,1,1
13960,0,-1,0,5e-324,-20.1781730651855,82.3971252441406,-16.862892150878903,57.2439994812012,349,13.96,13.79246711730721,2.1136760711673874,0.5516986846923011,0.08454704284669745,-0.5516986846923011,0.08454704284669745,1,1
14000,0,-1,0,5e-324,-19.89568519592289,85.0500411987305,-16.3442211151123,59.2923927307129,350,14.0,7.062196731565401,12.966775894165316,0.28248786926261005,0.5186710357666016,0.28248786926261005,0.5186710357666016,1,1
14040,0,-1,0,5e-324,-19.575473785400398,85.9358901977539,-16.1184196472168,59.1067237854004,351,14.04,8.005285263062493,5.645036697387638,0.3202114105224929,0.2258014678955007,0.3202114105224929,0.2258014678955007,1,1
14080,0,-1,0,5e-324,-19.570604324340803,84.3323287963867,-16.308792114257802,57.3844146728516,352,14.08,0.12173652648987672,4.759311676024925,0.0048694610595951815,0.19037246704100141,0.0048694610595951815,-0.19037246704100141,1,1
14120,0,-1,0,5e-324,-19.690006256103498,81.9689025878906,-16.6805305480957,54.75301361083979,353,14.12,2.9850482940674463,9.293460845947642,0.11940193176269531,0.37173843383789773,-0.11940193176269531,-0.37173843383789773,1,1
